epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.6895,17.71,2.7597,33.20,0.010000,15.2
2,phase1,2.4505,40.78,2.2795,42.58,0.009755,15.1
3,phase1,2.1444,46.17,2.1057,45.48,0.009045,15.1
4,phase2,1.3262,61.58,1.3833,59.55,0.100000,32.4
5,phase2,0.9083,72.49,1.6072,55.96,0.097553,32.4
6,phase2,0.7420,77.04,1.2021,65.71,0.090451,32.4
7,phase2,0.6097,80.97,1.1635,66.81,0.079389,32.5
8,phase2,0.4791,84.84,1.0575,69.61,0.065451,32.4
9,phase2,0.3532,89.15,0.9506,72.92,0.050000,32.7
10,phase2,0.2441,92.82,0.8220,76.88,0.034549,32.4
