epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.5186,22.42,2.5283,41.03,0.010000,12.6
2,phase1,2.2217,47.14,2.0247,49.63,0.009755,12.7
3,phase1,1.8983,52.69,1.8479,52.84,0.009045,12.5
4,phase2,1.1374,66.92,1.0743,68.28,0.100000,28.1
5,phase2,0.7105,78.12,1.1365,67.35,0.097553,28.0
6,phase2,0.5313,83.29,1.1430,68.21,0.090451,28.2
7,phase2,0.3803,87.93,0.9308,73.49,0.079389,28.0
8,phase2,0.2492,92.22,0.8491,76.31,0.065451,28.0
9,phase2,0.1438,96.15,0.7354,79.59,0.050000,28.1
10,phase2,0.0776,98.46,0.6718,81.27,0.034549,28.0
