epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.4524,21.94,2.4024,39.48,0.010000,4.3
2,phase1,2.1862,44.67,2.0109,47.13,0.009755,4.3
3,phase1,1.9391,49.11,1.8814,49.95,0.009045,4.2
4,phase2,1.6190,54.51,2.2461,40.32,0.100000,7.7
5,phase2,1.2199,64.20,2.4851,39.48,0.097553,7.6
6,phase2,1.0560,68.47,1.4923,58.03,0.090451,7.8
7,phase2,0.9160,72.20,1.6793,54.73,0.079389,7.8
8,phase2,0.7716,76.28,1.5650,58.58,0.065451,7.8
9,phase2,0.6312,80.34,1.5046,59.72,0.050000,7.6
10,phase2,0.4811,85.09,1.0640,70.19,0.034549,7.6
