epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,4.0334,19.31,2.9641,36.16,0.010000,28.4
2,phase1,2.6507,41.70,2.4406,44.33,0.009755,28.6
3,phase1,2.3241,46.64,2.2628,47.39,0.009045,28.7
4,phase2,1.7949,54.66,1.9656,50.69,0.100000,62.1
5,phase2,1.5233,60.62,2.1723,47.21,0.097553,63.7
6,phase2,1.4048,63.35,2.0379,48.90,0.090451,63.6
7,phase2,1.2883,65.81,1.9565,52.32,0.079389,62.1
8,phase2,1.1655,68.92,1.8773,54.16,0.065451,62.1
9,phase2,1.0053,72.75,1.7280,56.34,0.050000,62.1
10,phase2,0.8358,77.23,1.4984,62.09,0.034549,61.9
