epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.8208,25.49,2.7122,43.75,0.010000,24.1
2,phase1,2.3656,49.50,2.1683,51.09,0.009755,23.3
3,phase1,2.0282,54.14,1.9875,53.43,0.009045,23.4
4,phase2,1.5222,60.77,1.8050,54.95,0.100000,53.0
5,phase2,1.2301,67.42,1.6742,57.34,0.097553,54.2
6,phase2,1.0920,70.51,1.6497,58.15,0.090451,53.2
7,phase2,0.9533,73.91,1.6865,57.98,0.079389,53.0
8,phase2,0.7955,77.81,1.6107,60.32,0.065451,52.8
9,phase2,0.6070,83.02,1.3804,65.19,0.050000,52.9
10,phase2,0.4065,89.07,1.2915,67.85,0.034549,53.0
