epoch,phase,train_loss,train_acc,val_loss,val_acc,lr,time
1,phase1,3.9256,21.09,2.8197,38.50,0.010000,22.9
2,phase1,2.5243,43.95,2.3086,46.71,0.009755,22.0
3,phase1,2.2049,48.86,2.1437,48.97,0.009045,21.5
4,phase2,1.8307,53.80,2.0999,48.00,0.100000,48.5
5,phase2,1.5698,59.48,2.3266,44.00,0.097553,48.2
6,phase2,1.4617,61.95,1.9842,51.00,0.090451,47.2
7,phase2,1.3532,64.38,1.9573,51.21,0.079389,47.2
8,phase2,1.2171,67.57,1.7989,54.67,0.065451,47.4
9,phase2,1.0663,71.19,1.6624,58.26,0.050000,47.3
10,phase2,0.8833,76.10,1.5788,60.67,0.034549,47.2
